preflight,physical_gpu=4,bdf=0001:0b:00.0,busy=0,vram_mib=284.2,processes=0,dpm=auto
config,physical_gpu=4,bdf=0001:0b:00.0,warmup=3,iters=70,impls=8wave_varlen_fp8,4wave_varlen_fp8,h3_flops=28653368031232
environment,gpu=AMD Instinct MI308X,arch=gfx942:sramecc+:xnack-,power_cap_w=650.0,numa_balancing=1
sample,impl,index,elapsed_ms,native_tflops,h3_tflops,sclk_mean_mhz,sclk_min_mhz,sclk_max_mhz,power_mean_w,power_max_w,junction_max_c,mem_max_c,sensor_count
sample,4wave_varlen_fp8,32,99.800,287.109,287.109,1561.4,1540.0,1583.0,497.1,507.0,84.0,47.0,9
sample,4wave_varlen_fp8,33,99.576,287.755,287.755,1534.7,1500.0,1549.0,489.6,497.0,83.0,47.0,10
sample,4wave_varlen_fp8,34,86.192,332.438,332.438,1596.8,1539.0,1652.0,515.5,544.0,83.0,47.0,8
sample,4wave_varlen_fp8,35,84.424,339.399,339.399,1703.0,1666.0,1732.0,568.9,585.0,83.0,47.0,9
sample,4wave_varlen_fp8,36,84.317,339.829,339.829,1750.8,1738.0,1761.0,594.6,603.0,83.0,47.0,8
sample,4wave_varlen_fp8,37,84.758,338.062,338.062,1767.0,1764.0,1769.0,604.0,607.0,84.0,47.0,8
sample,4wave_varlen_fp8,38,84.488,339.141,339.141,1774.0,1772.0,1777.0,607.8,612.0,84.0,47.0,8
sample,4wave_varlen_fp8,39,84.545,338.913,338.913,1781.2,1780.0,1783.0,610.8,614.0,84.0,47.0,9
sample,4wave_varlen_fp8,40,84.387,339.545,339.545,1784.5,1784.0,1785.0,614.4,617.0,85.0,47.0,8
sample,4wave_varlen_fp8,41,87.856,326.141,326.141,1779.5,1752.0,1786.0,612.4,616.0,85.0,47.0,8
sample,4wave_varlen_fp8,42,99.800,287.107,287.107,1656.7,1595.0,1731.0,548.7,585.0,85.0,47.0,10
sample,4wave_varlen_fp8,43,99.940,286.706,286.706,1562.4,1538.0,1587.0,497.9,510.0,84.0,47.0,10
sample,4wave_varlen_fp8,44,95.833,298.993,298.993,1552.1,1537.0,1569.0,490.1,498.0,84.0,47.0,9
sample,4wave_varlen_fp8,45,92.331,310.334,310.334,1568.0,1516.0,1624.0,502.9,535.0,83.0,47.0,9
sample,4wave_varlen_fp8,46,84.768,338.021,338.021,1682.0,1642.0,1715.0,558.1,577.0,83.0,47.0,8
sample,4wave_varlen_fp8,47,84.319,339.820,339.820,1742.0,1723.0,1757.0,589.2,599.0,83.0,47.0,9
sample,4wave_varlen_fp8,48,84.358,339.665,339.665,1767.8,1761.0,1774.0,603.2,609.0,84.0,47.0,8
sample,4wave_varlen_fp8,49,84.317,339.831,339.831,1779.0,1776.0,1782.0,610.4,614.0,84.0,47.0,8
sample,4wave_varlen_fp8,50,84.308,339.864,339.864,1784.5,1783.0,1786.0,613.5,615.0,84.0,47.0,8
sample,4wave_varlen_fp8,51,84.299,339.901,339.901,1787.0,1787.0,1787.0,614.8,617.0,85.0,47.0,8
sample,4wave_varlen_fp8,52,84.412,339.447,339.447,1788.0,1788.0,1788.0,615.5,617.0,85.0,47.0,8
sample,4wave_varlen_fp8,53,97.945,292.545,292.545,1709.1,1635.0,1785.0,574.1,611.0,85.0,47.0,9
sample,4wave_varlen_fp8,54,99.989,286.567,286.567,1585.8,1552.0,1623.0,510.7,529.0,85.0,47.0,10
sample,4wave_varlen_fp8,55,98.895,289.736,289.736,1542.5,1530.0,1550.0,486.5,490.0,84.0,47.0,10
sample,4wave_varlen_fp8,56,93.187,307.483,307.483,1544.0,1525.0,1592.0,486.0,511.0,83.0,47.0,9
sample,4wave_varlen_fp8,57,84.985,337.156,337.156,1654.2,1611.0,1693.0,541.2,563.0,83.0,46.0,8
sample,4wave_varlen_fp8,58,84.346,339.714,339.714,1726.2,1703.0,1745.0,579.0,591.0,83.0,47.0,8
sample,4wave_varlen_fp8,59,84.300,339.900,339.900,1759.5,1750.0,1767.0,597.5,604.0,83.0,47.0,8
sample,4wave_varlen_fp8,60,88.606,323.380,323.380,1741.4,1719.0,1770.0,596.4,603.0,84.0,47.0,9
sample,4wave_varlen_fp8,61,84.728,338.179,338.179,1765.6,1758.0,1772.0,603.8,608.0,84.0,47.0,8
sample,4wave_varlen_fp8,62,84.341,339.732,339.732,1778.8,1775.0,1782.0,610.6,614.0,85.0,47.0,9
sample,4wave_varlen_fp8,63,84.306,339.875,339.875,1784.5,1783.0,1786.0,613.6,616.0,85.0,47.0,8
sample,4wave_varlen_fp8,64,89.225,321.137,321.137,1776.1,1737.0,1787.0,609.0,615.0,85.0,47.0,8
sample,4wave_varlen_fp8,65,99.851,286.961,286.961,1646.8,1589.0,1713.0,543.0,577.0,85.0,47.0,10
sample,4wave_varlen_fp8,66,98.867,289.816,289.816,1564.6,1544.0,1581.0,499.4,508.0,84.0,47.0,10
sample,4wave_varlen_fp8,67,97.035,295.289,295.289,1540.3,1535.0,1544.0,484.6,486.0,84.0,47.0,9
sample,4wave_varlen_fp8,68,85.505,335.109,335.109,1619.1,1556.0,1671.0,522.7,551.0,83.0,47.0,9
sample,4wave_varlen_fp8,69,84.487,339.147,339.147,1711.5,1683.0,1735.0,570.9,586.0,83.0,47.0,8
throttle,4wave_varlen_fp8,{"accumulation_counter": null, "hbm_thermal_accumulated": null, "ppt_accumulated": null, "prochot_accumulated": null, "socket_thermal_accumulated": null, "vr_thermal_accumulated": null}
output,artifacts/h3-fp8-auto/profile-auto-fp8.json
